Kategorie,Titel,Eingangsbereich-rollstuhlgerecht,Personenaufzug-rollstuhlgerecht,Personenaufzug-vorhanden,Toilette-rollstuhlgerecht,Strasse,PLZ,Ort,Oeffnungszeiten,Longitude,Latitude,ID,Parkplatz-vorhanden,Parkplatz-vor-Einrichtung-vorhanden,Anzahl-Behindertenparkplaetze-v-Einrichtung,Hauseigener-Parkplatz-vorhanden,Anzahl-Behindertenparkplaetze-auf-hauseigenem-Parkplatz,Ort-hauseigener-Parkplatz,Stufen-bis-Eingang-vorhanden,Anzahl-der-Stufen-bis-Eingang,Hoehe-einer-Stufe-bis-Eingang-cm,Eingang-Handlauf-durchgehend-links-vorhanden,Eingang-Handlauf-durchgehend-rechts-vorhanden,Eingang-Farbliche-Markierung-erste-u-letzte-Stufe-vorhanden,Alternativer-Eingang-fuer-Rollstuhlfahrer-vorhanden,Ort-alternativer-Eingang-fuer-Rollstuhlfahrer,Rampe-vor-Eingang-vorhanden,Laenge-der-Rampe-cm,Hoehe-der-Rampe-cm,Breite-der-Rampe-cm,Rampe-Handlauf-durchgehend-links-vorhanden,Rampe-Handlauf-durchgehend-rechts-vorhanden,Rampe-Farbliche-Markierung-an-Beginn-u-Ende-der-Rampe-vorhanden,Eingang-Klingel-vorhanden,Eingang-Ort-der-Klingel,Eingang-Klingel-mit-Wechselsprechanlage-vorhanden,Eingang-Hoehe-oberster-Bedienknopf-von-Klingel-cm,Kleinste-Tuerbreite-bis-Erreichen-der-Einrichtung-cm,Tuerart-am-Eingang-Automatische-Tuer,Tuerart-am-Eingang-Halbautomatische-Tuer,Tuerart-am-Eingang-Drehtuer,Tuerart-am-Eingang-Schiebetuer,Tuerart-am-Eingang-Drehfluegeltuer,Tuerart-am-Eingang-Pendeltuer,Tuerart-am-Eingang-andere-Tuerart,Aufzug-in-der-Einrichtung-vorhanden,Anzahl-der-Stufen-bis-Aufzug-in-der-Einrichtung,Aufzug-Tuerbreite-cm,Stufen-bis-Aufzug-in-der-Einrichtung-vorhanden,Aufzug-Breite-Innenkabine-cm,Aufzug-Tiefe-Innenkabine-cm,Aufzug-Hoehe-oberster-Bedienknopf-in-Innenkabine-cm,Aufzug-Hoehe-oberster-Bedienknopf-außerhalb-cm,Aufzug-Ort-Aufenthaltsort-Aufzugsberechtigter,Toilette-in-der-Einrichtung-vorhanden,Toilette-mit-Piktogramm-als-Behindertentoilette-gekennzeichnet,Stufen-bis-Toilette-in-Einrichtung-vorhanden,Anzahl-Stufen-bis-Toilette-in-Einrichtung,Hoehe-der-Stufen-bis-Toilette-in-Einrichtung-cm,Stufen-bis-Toilette:-Handlauf-durchgehend-links-vorhanden,Stufen-bis-Toilette:-Handlauf-durchgehend-rechts-vorhanden,Stufen-bis-Toilette-Farbliche-Markierung-erste-u-letzte-Stufe,Tuerbreite-der-Toilettenkabine-cm,ToilettenTuer-von-außen-entriegelbar,Notklingel-in-Toilettenkabine-vorhanden,Hoehe-Notklingel-in-Toilettenkabine,Bewegungsflaeche-vor-WC-Tiefe-cm,Bewegungsflaeche-vor-WC-Breite-cm,Bewegungsflaeche-links-vom-WC:-Tiefe-cm,Bewegungsflaeche-links-vom-WC:-Breite-cm,Bewegungsflaeche-rechts-vom-WC:-Tiefe-cm,Bewegungsflaeche-rechts-vom-WC:-Breite-cm,Aktivierung-Amatur-Waschbecken-Toilettenkabine-mit-Fotozelle,Aktivierung-Amatur-Waschbecken-Toilettenkabine-mit-Hebelarm,Besondere-Hilfestellungen-f-Menschen-m-Hoerbehinderung-vorhanden,Besondere-Hilfestellungen-f-Menschen-m-Seebhind-Blinde-vorhanden,Allgemeine-Hilfestellungen-vor-Ort-vorhanden,Beschreibung-Hilfestellungen-vor-Ort
Bildung,"Institut Francais de Leipzig",nein,nein,nein,nein,"Thomaskirchhof 20 - 2. Etage",04109,Leipzig,"Sekretariat: Mo, Do 9.30 - 18.30 Uhr
Di, Mi  9.30 - 12.30 Uhr und 14.00 - 18.30 Uhr
Fr  9.30 - 12.30 Uhr

Mediathek: Mo  12.30 - 18.30 Uhr
Di, Mi  14.00 - 18.30 Uhr

Konsulargespräche Di  14.00 - 17.00 Uhr und nach Vereinbarung",12.3720464,51.3398754,10-institut-francais-de-leipzig-thomaskirchhof-20-2.-etage-04109-leipzig,ja,nein,0,nein,0,,ja,10,10,ja,ja,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,110,nein,nein,nein,nein,ja,nein,nein,ja,10,0,ja,0,0,0,0,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,nein,nein,nein,nein,
Bildung,"Polnisches Institut",teilweise,nein,ja,nein,"Markt 10",04109,Leipzig,"Mo - Fr 10.00 - 18.00 Uhr",12.3737552,51.3406878,11-polnisches-institut-markt-10-04109-leipzig,nein,nein,,nein,0,,nein,27,19,ja,nein,nein,nein,,nein,0,0,0,nein,nein,nein,ja,"rechter Eingang Passage",ja,130,80,nein,nein,nein,nein,ja,nein,nein,ja,0,89,nein,110,130,100,115,,ja,nein,nein,0,0,nein,nein,nein,57,ja,nein,"0,00000000e+00",95,80,60,27,60,23,nein,ja,nein,nein,ja,
Bildung,"Generalkonsulat der USA",nein,nein,nein,nein,"Wilhelm-Seyfferth-Str. 4",04107,Leipzig,"Information - Research Center
Di         17.00 - 19.00 Uhr
Mi - Fr  14.00 - 17.00 Uhr",12.36772,51.33389,12-generalkonsulat-der-usa-wilhelm-seyfferth-str.-4-04107-leipzig,nein,nein,0,nein,0,,ja,0,0,ja,nein,ja,nein,,nein,0,0,0,nein,nein,nein,ja,Eingangstür,ja,140,85,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,nein,ja,0,0,nein,nein,nein,0,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,nein,nein,nein,ja,"Wache rund um die Uhr vor Ort und jederzeit bereit zum Helfen"
Bildung,"Schwedisches Honorarkonsulat",vollständig,nein,ja,nein,"Messe - Allee 2",04356,Leipzig,"Mo, Di , Do  9.00 - 12.00 Uhr",12.3958258,51.3939529,13-schwedisches-honorarkonsulat-messe-allee-2-04356-leipzig,ja,nein,0,ja,3,"am Maxicom-Gebäude",nein,0,0,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,150,ja,nein,nein,nein,nein,nein,nein,ja,0,100,nein,100,250,60,0,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,nein,nein,nein,nein,"Das Konsulat befindet sich im 2. Obergeschoß, über
Aufzug zu erreichen."
Bildung,"Bibliotheca Albertina - Universitätsbibliothek Leipzig",vollständig,ja,nein,vollständig,"Beethovenstr. 6",04107,Leipzig,"Orts- und Fernleihe: Mo - Fr  10.00 - 19.00 Uhr
                                     Sa       10.00 - 16.00 Uhr
Freihand/Lesesaal:  Mo - Fr  8.00 - 22.00 Uhr
                                     Sa          10.00 - 19.00 Uhr
Ausstellungsraum: täglich 10 - 18 Uhr",12.36854,51.33241,14-bibliotheca-albertina-universitaetsbibliothek-leipzig-beethovenstr.-6-04107-leipzig,ja,ja,1,nein,0,,nein,19,13,ja,ja,nein,ja,"Eingang rechts neben Haupteingang zum Selbstfahreraufzug nach EG, 2. und 4. OG, vom EG mit Personalaufzug zum 1. und 3. OG;",ja,700,30,0,nein,nein,ja,ja,"am Lift vor dem Eingang",ja,85,92,nein,ja,nein,nein,ja,nein,nein,ja,0,90,nein,110,140,85,85,,ja,ja,nein,0,0,nein,nein,nein,94,ja,ja,"1,00000000e+01",174,113,70,20,70,97,nein,ja,nein,ja,ja,"Sehbehindertenarbeitsplatz im 2. OG  (Informationen unter 0341-9 73 05 77); längere  Ausleihzeit  für Leser mit Behinderung; Abholung durch Dritte möglich; Beh.-WC (r) in EG(s. Angaben) und 4. OG, (l) in 2.OG;"
Bildung,"Cospuden - Parkfoyer/Infopoint",teilweise,nein,nein,nein,Brückenstr.,04249,Leipzig,,12.3348431,51.2992738,15-cospuden-parkfoyer_infopoint-brueckenstr.-04249-leipzig,ja,ja,30,nein,0,,nein,0,0,nein,nein,nein,ja,,ja,3770,420,260,ja,ja,nein,nein,,nein,0,97,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,ja,nein,0,0,nein,nein,nein,95,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,nein,nein,nein,nein,"Toiletten (auch Behinderten-WC) mit Geldautomaten in 135 cm Höhe"
Bildung,"Halle 14 - Zentrum für zeitgenössische Kunst",vollständig,nein,nein,vollständig,"Spinnerei 7 ",04179,Leipzig,"Winter: Di - Sa  11-18 Uhr Kunstbibliothek und kleine Ausstellung

Sommer: Di - So 11-18 Uhr Kinstbibliothek und große Ausstellungshalle",12.3182245,51.326537,16-halle-14-zentrum-fuer-zeitgenoessische-kunst-spinnerei-7-04179-leipzig,ja,nein,0,ja,1,,nein,6,16,nein,nein,nein,ja,"Schräge mit Ruhepotentialen",ja,2550,96,120,nein,ja,ja,nein,,nein,0,94,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,ja,nein,0,0,nein,nein,nein,94,ja,nein,"0,00000000e+00",185,212,70,90,70,92,nein,ja,nein,nein,ja,"Besucherservice steht für Fragen zur Verfügung und zeigt den Weg zum Behinderten-WC (durch die große Ausstellungshalle)"
Bildung,"Kunsthalle der Sparkasse Leipzig",vollständig,nein,ja,nein,"Otto-Schill-Str. 4a",04109,Leipzig,"Di, Do - So  10 - 18 Uhr; 
Mi  12 -  20 Uhr",12.36986,51.33842,17-kunsthalle-der-sparkasse-leipzig-otto-schill-str.-4a-04109-leipzig,nein,nein,0,nein,0,,nein,10,18,nein,nein,nein,ja,"mit dem Lift bitte vorher anmelden, da Haustür zum Lift verschlossen;",nein,0,0,0,nein,nein,nein,nein,,nein,0,90,nein,nein,nein,nein,ja,nein,nein,ja,0,90,nein,110,140,120,120,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,nein,nein,nein,ja,"Bitte telefonisch voranmelden, damit der Hofzugang geöffnet wird um den  Aufzug zu erreichen."
Bildung,Durchblick-Galerie,nein,nein,nein,nein,"Mainzer Str. 7",04109,Leipzig,,12.355162,51.3366482,18-durchblick-galerie-mainzer-str.-7-04109-leipzig,nein,nein,0,nein,0,,ja,3,17,nein,nein,nein,ja,"über Gartenweg zur Terrasse, Bau einer mobilen Rampe über die 3 Stufen ist geplant",ja,1400,75,120,nein,nein,nein,nein,,nein,0,74,nein,nein,nein,nein,nein,nein,nein,nein,0,0,nein,0,0,0,0,,ja,ja,nein,0,0,nein,nein,nein,94,ja,nein,"0,00000000e+00",112,146,56,25,56,12,nein,ja,nein,nein,ja,"Außentüren sind mehrflügelig"
Bildung,"PHYLLODROM e.V.",nein,nein,nein,nein,"Delitzscher Landstr. 38",04158,Leipzig,"Mo - Sa  10.00 - 17.00 Uhr",12.3770428,51.391676,19-phyllodrom-e.v.-delitzscher-landstr.-38-04158-leipzig,ja,ja,0,ja,0,,ja,25,19,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,80,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,nein,nein,0,0,nein,nein,nein,85,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,ja,nein,nein,ja,
Bildung,"Plagwitz - Konsumgenossenschaft Leipzig eG",nein,nein,ja,nein,"Industriestr. 85 - 95",04229,Leipzig,"nur auf Voranmeldung unter
Tel.: 4 98 43 10, 4 98 43 13, 4 98 43 14",12.3298173,51.3280202,20-plagwitz-konsumgenossenschaft-leipzig-eg-industriestr.-85-95-04229-leipzig,ja,ja,0,ja,0,,ja,3,20,nein,nein,nein,ja,"nur Lastenaufzug",nein,0,0,0,nein,nein,nein,nein,,nein,0,100,nein,nein,nein,nein,ja,nein,nein,ja,3,80,ja,110,135,135,145,"im Haus",ja,nein,nein,0,0,nein,nein,nein,60,nein,nein,"0,00000000e+00",45,100,55,20,55,40,nein,nein,nein,nein,ja,
Bildung,"Rathaussaal - Rathaus Wiederitzsch",nein,nein,nein,nein,"Delitzscher Landstr. 55",04158,"Leipzig - Wiederitzsch","siehe aktuelle Presseveröffentlichungen",12.37363,51.39367,21-rathaussaal-rathaus-wiederitzsch-delitzscher-landstr.-55-04158-leipzig-wiederitzsch,nein,nein,0,nein,0,,ja,16,18,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,ja,"rechts neben der Eingangstür",nein,70,90,nein,nein,nein,nein,ja,nein,nein,nein,0,0,nein,0,0,0,0,,ja,nein,nein,0,0,nein,nein,nein,90,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,nein,nein,nein,ja,
Bildung,"Galerie am Nikolaikirchhof (Verkaufsgalerie)",teilweise,nein,ja,nein,"Ritterstr. 5",04109,Leipzig,"Mo bis Fr: 10-19 Uhr, Sa: 10-13 Uhr",12.3791334,51.3409045,22-galerie-am-nikolaikirchhof-verkaufsgalerie-ritterstr.-5-04109-leipzig,ja,nein,,nein,0,,ja,1,16,nein,nein,nein,nein,,nein,0,0,0,nein,nein,nein,nein,,nein,0,80,nein,nein,nein,nein,ja,nein,nein,ja,0,90,nein,110,120,120,86,,nein,nein,ja,0,0,nein,nein,nein,0,nein,nein,"0,00000000e+00",0,0,0,0,0,0,nein,nein,nein,nein,ja,"Behindertenparkplätze befinden sich in ca. 40 m Entfernung in der Ritterstraße. 
Hilfe durch Kassenpersonal auch zu Besichtigungen 
möglich.
Bei Kauf auf Wunsch auch Anlieferung  ."
Bildung,"GALERIE FÜR ZEITGENÖSSISCHE KUNST LEIPZIG - Altbau",vollständig,nein,ja,teilweise,"Karl-Tauchnitz-Str. 11",04107,Leipzig,"Galerie:
Di - Fr  14.00 - 19.00 Uhr,
Sa, So  12.00 - 18.00 Uhr;

Bibliothek: Di, Mi, Fr  11.00 - 17.00 Uhr, 
                    Do  14.00 - 19.00 Uhr;",12.36529,51.33396,23-galerie-fuer-zeitgenoessische-kunst-leipzig-altbau-karl-tauchnitz-str.-11-04107-leipzig,ja,nein,0,ja,1,,ja,12,15,nein,ja,nein,ja,"rechts neben der Haupteingangstür",ja,995,58,112,ja,ja,nein,ja,"Eingangstür für Behinderte",ja,82,125,nein,nein,nein,nein,ja,nein,nein,ja,0,110,nein,130,240,132,119,nein,ja,ja,nein,0,0,nein,nein,nein,94,ja,ja,"0,00000000e+00",116,200,70,17,70,120,nein,nein,nein,nein,ja,"Die Galerie versteht sich als ein Zentrum der Förderung und Vermittlung internationaler aktueller Kunst und ist die erste Institution dieser Art in den neuen Bundesländern."
